1枠1番  <:g1_n1:1371894425965559869>
1枠2番  <:g1_n2:1371894428670885898>

2枠2番  <:g2_n2:1371894431233343538>
2枠3番  <:g2_n3:1371894433297076266>
2枠4番  <:g2_n4:1371894435490828389>

3枠3番  <:g3_n3:1371894436895785133>
3枠4番  <:g3_n4:1371894438640750642>
3枠5番  <:g3_n5:1371894440129466418>
3枠6番  <:g3_n6:1371894441706655814>

4枠4番  <:g4_n4:1371894581792211064>
4枠5番  <:g4_n5:1371894583553822741>
4枠6番  <:g4_n6:1371894591871127713>
4枠7番  <:g4_n7:1371894594047971338>
4枠8番  <:g4_n8:1371894596434395136>

5枠5番  <:g5_n5:1371894867478843533>
5枠6番  <:g5_n6:1371894869232189480>
5枠7番  <:g5_n7:1371894871589392394>
5枠8番  <:g5_n8:1371894873875157023>
5枠9番  <:g5_n9:1371894875489964153>
5枠10番 <:g5_n10:1371894877234659460>

6枠6番  <:g6_n6:1371894938471628892>
6枠7番  <:g6_n7:1371894940388298822>
6枠8番  <:g6_n8:1371894942850351296>
6枠9番  <:g6_n9:1371894945388171314>
6枠10番 <:g6_n10:1371894946952380568>
6枠11番 <:g6_n11:1371894949855105206>
6枠12番 <:g6_n12:1371894952467890257>

7枠7番  <:g7_n7:1371895001214095442>
7枠8番  <:g7_n8:1371895003638665396>
7枠9番  <:g7_n9:1371895005869768744>
7枠10番 <:g7_n10:1371895007593627743>
7枠11番 <:g7_n11:1371895009195987096>
7枠12番 <:g7_n12:1371895010668052550>
7枠13番 <:g7_n13:1371895012392046642>
7枠14番 <:g7_n14:1371895014019567798>
7枠15番 <:g7_n15:1371895015558746163>

8枠8番  <:g8_n8:1371895052430741525>
8枠9番  <:g8_n9:1371895059972358264>
8枠10番 <:g8_n10:1371895062107000922>
8枠11番 <:g8_n11:1371895063768072232>
8枠12番 <:g8_n12:1371895071837917214>
8枠13番 <:g8_n13:1371895073763233904>
8枠14番 <:g8_n14:1371895075034108039>
8枠15番 <:g8_n15:1371895077038850160>
8枠16番 <:g8_n16:1371895078645141694>
8枠17番 <:g8_n17:1371895081404989542>
8枠18番 <:g8_n18:1372578445694992404>

除外        <:jogai:1372578461306323035>
取り消し    <:keshi:1372578570475540600>
本命        <:maru:1372578589765144606> 
